show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s149,TV Show,HQ Barbers,Gerhard Mostert,,"September 1, 2021",2020,TV-14,1 Season,TV Shows
s150,Movie,I Got the Hook Up,Michael Martin,United States,"September 1, 2021",1998,R,93 min,"Action & Adventure, Comedies"
s151,Movie,In Too Deep,Michael Rymer,United States,"September 1, 2021",1999,R,97 min,Thrillers
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","China, Hong Kong","September 1, 2021",2005,TV-14,109 min,"Action & Adventure, International Movies"
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,"September 1, 2021",2016,TV-MA,88 min,Comedies
s154,TV Show,Kid-E-Cats,,Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV
s155,TV Show,Kuroko's Basketball,,Japan,"September 1, 2021",2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows"
s156,Movie,Labyrinth,Jim Henson,United Kingdom,"September 1, 2021",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies"
s157,Movie,Letters to Juliet,Gary Winick,United States,"September 1, 2021",2010,PG,105 min,"Comedies, Dramas, Romantic Movies"
s158,Movie,Level 16,Danishka Esterhazy,Canada,"September 1, 2021",2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers"
s159,Movie,Love Don't Cost a Thing,Troy Byer,United States,"September 1, 2021",2003,PG-13,101 min,"Comedies, Romantic Movies"
s160,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,"September 1, 2021",2010,TV-MA,103 min,"Comedies, Dramas, International Movies"
s161,TV Show,Major Dad,,United States,"September 1, 2021",1992,TV-PG,4 Seasons,TV Comedies
s162,Movie,Mars Attacks!,Tim Burton,United States,"September 1, 2021",1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy"
s163,Movie,Marshall,Reginald Hudlin,United States,"September 1, 2021",2017,PG-13,118 min,Dramas
s164,Movie,My Boss's Daughter,David Zucker,United States,"September 1, 2021",2003,R,86 min,"Comedies, Romantic Movies"
s165,Movie,Mystery Men,Kinka Usher,United States,"September 1, 2021",1999,PG-13,121 min,"Action & Adventure, Comedies"
s166,TV Show,Oldsters,,,"September 1, 2021",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s167,Movie,Once Upon a Time in America,Sergio Leone,"Italy, United States","September 1, 2021",1984,R,229 min,"Classic Movies, Dramas"
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States,"September 1, 2021",2008,PG,76 min,"Children & Family Movies, Comedies"
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,"September 1, 2021",2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies"
s170,Movie,Poseidon,Wolfgang Petersen,United States,"September 1, 2021",2006,PG-13,98 min,"Action & Adventure, Dramas"
s171,Movie,Rhyme & Reason,Peter Spirer,United States,"September 1, 2021",1997,R,89 min,"Documentaries, Music & Musicals"
s172,Movie,Same Kind of Different as Me,Michael Carney,United States,"September 1, 2021",2017,PG-13,120 min,"Dramas, Faith & Spirituality"
s173,Movie,School of Rock,Richard Linklater,United States,"September 1, 2021",2003,PG-13,110 min,"Comedies, Music & Musicals"
s174,Movie,Snervous Tyler Oakley,Amy Rice,United States,"September 1, 2021",2015,PG-13,83 min,"Documentaries, LGBTQ Movies"
s175,Movie,Tears of the Sun,Antoine Fuqua,United States,"September 1, 2021",2003,R,121 min,"Action & Adventure, Dramas"
s176,Movie,The Blue Lagoon,Randal Kleiser,United States,"September 1, 2021",1980,R,105 min,"Dramas, Romantic Movies"
s177,Movie,The Golden Child,Michael Ritchie,United States,"September 1, 2021",1986,PG-13,94 min,"Action & Adventure, Comedies"
s178,Movie,The Guns of Navarone,J. Lee Thompson,United Kingdom,"September 1, 2021",1961,TV-14,156 min,"Action & Adventure, Classic Movies"
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,"September 1, 2021",2014,R,112 min,"Action & Adventure, Comedies"
s180,Movie,The Nutty Professor,Tom Shadyac,United States,"September 1, 2021",1996,PG-13,95 min,"Comedies, Romantic Movies"
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,,"September 1, 2021",2000,PG-13,107 min,"Comedies, Romantic Movies"
s182,TV Show,Turning Point: 9/11 and the War on Terror,,,"September 1, 2021",2021,TV-14,1 Season,Docuseries
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,"September 1, 2021",2008,PG-13,114 min,Comedies
s184,Movie,In the Line of Fire,Wolfgang Petersen,United States,"August 31, 2021",1993,R,129 min,"Action & Adventure, Classic Movies"
s185,TV Show,Sparking Joy,,United States,"August 31, 2021",2021,TV-PG,1 Season,Reality TV
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",,"August 31, 2021",2021,TV-MA,86 min,"Documentaries, Sports Movies"
s187,TV Show,Hometown Cha-Cha-Cha,,,"August 29, 2021",2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,,,"August 29, 2021",2021,TV-G,1 Season,"International TV Shows, TV Comedies"
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,"August 28, 2021",2008,TV-MA,97 min,"Comedies, International Movies"
s190,TV Show,Bread Barbershop,,,"August 28, 2021",2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
s191,Movie,Thimmarusu,Sharan Koppisetty,India,"August 28, 2021",2021,TV-14,125 min,"Dramas, International Movies"
s192,Movie,Wind River,Taylor Sheridan,United Kingdom,"August 28, 2021",2017,R,107 min,"Dramas, Independent Movies"
s193,Movie,C Kkompany,Sachin Yardi,India,"August 27, 2021",2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies"
s194,TV Show,D.P.,,", South Korea","August 27, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas"
s195,TV Show,Deadly Sins,,,"August 27, 2021",2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,"August 27, 2021",2008,TV-14,128 min,"Comedies, Dramas, International Movies"
s197,Movie,He's All That,Mark Waters,,"August 27, 2021",2021,TV-14,92 min,"Comedies, Romantic Movies"
s198,TV Show,I Heart Arlo,,,"August 27, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,"August 27, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s200,Movie,Koi Aap Sa,Partho Mitra,India,"August 27, 2021",2006,TV-14,135 min,"Comedies, Dramas, International Movies"
s201,Movie,Krishna Cottage,Santram Varma,India,"August 27, 2021",2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies"
s202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,"August 27, 2021",2003,TV-14,136 min,"Dramas, International Movies, Thrillers"
s203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India,"August 27, 2021",2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals"
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,"August 27, 2021",2016,TV-MA,124 min,"Comedies, International Movies"
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,"August 27, 2021",2012,TV-MA,136 min,"Comedies, International Movies"
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India,"August 27, 2021",2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy"
s207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,"August 27, 2021",2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies"
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,"August 27, 2021",2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals"
s209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,"August 27, 2021",2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals"
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,"August 27, 2019",2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals"
s211,Movie,Ragini MMS,Pawan Kripalani,India,"August 27, 2019",2011,TV-MA,93 min,"Horror Movies, International Movies"
s212,Movie,Ragini MMS 2,Bhushan Patel,India,"August 27, 2019",2014,TV-MA,113 min,"Horror Movies, International Movies"
s213,TV Show,Rebellion,,Ireland,"August 27, 2021",2016,TV-MA,2 Seasons,"International TV Shows, TV Dramas"
s214,TV Show,RIDE ON TIME,,,"August 27, 2021",2021,TV-PG,3 Seasons,"Docuseries, International TV Shows"
s215,Movie,SAS: Rise of the Black Swan,Magnus Martens,,"August 27, 2021",2021,R,124 min,"Action & Adventure, International Movies"
s216,Movie,Shootout at Lokhandwala,Apoorva Lakhia,India,"August 27, 2019",2007,TV-MA,116 min,"Action & Adventure, Dramas, International Movies"
s217,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,"August 27, 2019",2011,TV-14,106 min,"Comedies, Dramas, Independent Movies"
s218,Movie,The Dirty Picture,Milan Luthria,India,"August 27, 2019",2011,TV-14,145 min,"Comedies, Dramas, International Movies"
s219,TV Show,Titletown High,,,"August 27, 2021",2021,TV-14,1 Season,"Reality TV, Teen TV Shows"
s220,TV Show,EDENS ZERO,,Japan,"August 26, 2021",2021,TV-14,1 Season,"Anime Series, International TV Shows"
s221,TV Show,Family Reunion,,United States,"August 26, 2021",2021,TV-PG,4 Seasons,"Kids' TV, TV Comedies"
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,,"August 25, 2021",2021,TV-14,93 min,Documentaries
s223,TV Show,Clickbait,Brad Anderson,,"August 25, 2021",2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries"
s224,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",,"August 25, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s225,TV Show,Motel Makeover,,,"August 25, 2021",2021,TV-14,1 Season,"International TV Shows, Reality TV"
s226,TV Show,Open Your Eyes,,,"August 25, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
s227,TV Show,Post Mortem: No One Dies in Skarnes,,,"August 25, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
s228,Movie,Really Love,Angel Kristi Williams,United States,"August 25, 2021",2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies"
s229,Movie,The November Man,Roger Donaldson,United States,"August 25, 2019",2014,R,108 min,Action & Adventure
s230,Movie,The Old Ways,Christopher Alender,United States,"August 25, 2021",2020,TV-MA,90 min,Horror Movies
s231,Movie,The River Runner,Rush Sturges,,"August 25, 2021",2021,TV-MA,86 min,"Documentaries, Sports Movies"
s232,Movie,The Water Man,David Oyelowo,United States,"August 25, 2021",2021,PG,92 min,"Children & Family Movies, Dramas"
s233,TV Show,Wheel of Fortune,,United States,"August 25, 2020",2019,TV-G,3 Seasons,Reality TV
s234,Movie,Count Me In,Mark Lo,United Kingdom,"August 24, 2021",2021,TV-MA,82 min,"Documentaries, Music & Musicals"
s235,TV Show,Oggy Oggy,,,"August 24, 2021",2021,TV-Y,1 Season,"Kids' TV, TV Comedies"
s236,Movie,Untold: Caitlyn Jenner,Crystal Moselle,,"August 24, 2021",2021,TV-PG,70 min,"Documentaries, LGBTQ Movies, Sports Movies"
s237,Movie,Boomika,Rathindran R Prasad,,"August 23, 2021",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
s238,Movie,Boomika (Hindi),Rathindran R Prasad,,"August 23, 2021",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
s239,Movie,Boomika (Malayalam),Rathindran R Prasad,,"August 23, 2021",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
s240,Movie,Boomika (Telugu),Rathindran R Prasad,,"August 23, 2021",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
s241,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,,"August 23, 2021",2021,TV-MA,84 min,"Action & Adventure, Anime Features"
s242,TV Show,Manifest,,United States,"August 21, 2021",2021,TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy"
s243,TV Show,Comedy Premium League,,,"August 20, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Comedies"
s244,TV Show,Everything Will Be Fine,,,"August 20, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s245,Movie,Gunshot,Karim El Shenawy,,"August 20, 2019",2018,TV-14,96 min,"Dramas, International Movies, Thrillers"
s246,TV Show,Korean Cold Noodle Rhapsody,,,"August 20, 2021",2021,TV-PG,1 Season,"Docuseries, International TV Shows"
s247,Movie,Man in Love,Yin Chen-hao,,"August 20, 2021",2021,TV-MA,115 min,"Dramas, International Movies, Romantic Movies"
s248,Movie,Sweet Girl,Brian Andrew Mendoza,United States,"August 20, 2021",2021,R,110 min,"Action & Adventure, Dramas"
s249,TV Show,The Chair,,,"August 20, 2021",2021,TV-MA,1 Season,"TV Comedies, TV Dramas"
s250,Movie,The Loud House Movie,Dave Needham,,"August 20, 2021",2021,TV-Y7,88 min,"Children & Family Movies, Comedies, Music & Musicals"
s251,Movie,A Faraway Land,Veronica Velasco,,"August 19, 2021",2020,TV-PG,102 min,"Dramas, International Movies, Romantic Movies"
s252,Movie,Like Crazy,Drake Doremus,United States,"August 19, 2019",2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies"
s253,Movie,Black Island,Miguel Alexandre,,"August 18, 2021",2021,TV-MA,105 min,"International Movies, Thrillers"
s254,Movie,Bombay,Mani Ratnam,India,"August 18, 2019",1995,TV-14,135 min,"Dramas, International Movies, Romantic Movies"
s255,TV Show,Go! Go! Cory Carson,,United States,"August 18, 2021",2021,TV-Y,5 Seasons,Kids' TV
s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,,"August 18, 2021",2021,TV-MA,86 min,"Documentaries, International Movies"
s257,Movie,Nneka The Pretty Serpent,Tosin Igho,,"August 18, 2021",2020,TV-14,140 min,"Dramas, International Movies"
s258,Movie,O Kadhal Kanmani,Mani Ratnam,,"August 18, 2019",2015,TV-14,133 min,"Dramas, International Movies, Romantic Movies"
s259,Movie,Out of my league,Alice Filippi,,"August 18, 2020",2020,TV-MA,92 min,"Comedies, Dramas, International Movies"
s260,Movie,Pahuna,Paakhi Tyrewala,"India, Nepal","August 18, 2019",2018,TV-PG,82 min,"Comedies, Dramas, International Movies"
s261,TV Show,The Defeated,,,"August 18, 2021",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,,"August 18, 2021",2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies"
s263,Movie,Untold: Deal With the Devil,Laura Brownson,,"August 18, 2021",2021,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies"
s264,TV Show,Mother Goose Club,,United States,"August 16, 2019",2016,TV-Y,2 Seasons,Kids' TV
s265,Movie,Walk of Shame,Steve Brill,United States,"August 16, 2021",2014,R,94 min,"Comedies, Independent Movies"
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,Japan,"August 15, 2019",2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows"
s267,TV Show,The Creative Indians,,India,"August 15, 2021",2020,TV-MA,1 Season,"Docuseries, International TV Shows"
s268,Movie,The Piano,Jane Campion,New Zealand,"August 15, 2019",1993,R,121 min,"Classic Movies, Dramas, Independent Movies"
s269,Movie,Unroyal,Moses Inwang,,"August 15, 2021",2020,TV-MA,97 min,"Dramas, International Movies"
s270,TV Show,Winx Club,,Italy,"August 15, 2019",2015,TV-Y7,2 Seasons,Kids' TV
s271,Movie,Beckett,Ferdinando Cito Filomarino,"Italy, Brazil, Greece","August 13, 2021",2021,TV-MA,110 min,Action & Adventure
s272,TV Show,Brand New Cherry Flavor,,United States,"August 13, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
s273,TV Show,Fast & Furious Spy Racers,,United States,"August 13, 2021",2021,TV-Y7,5 Seasons,Kids' TV
s274,TV Show,Gone for Good,Juan Carlos Medina,France,"August 13, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s275,TV Show,Grace and Frankie,,United States,"August 13, 2021",2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas"
s276,TV Show,The Kingdom,,Argentina,"August 13, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows"
s277,TV Show,Valeria,Inma Torrente,Spain,"August 13, 2021",2021,TV-MA,2 Seasons," Romantic TV Shows, Spanish-Language TV Shows"
s278,TV Show,AlRawabi School for Girls,,Jordan,"August 12, 2021",2021,TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows"
s279,Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,"August 12, 2021",2021,TV-MA,64 min,Stand-Up Comedy
s280,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,United States,"August 12, 2021",2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies"
s281,TV Show,Bake Squad,,United States,"August 11, 2021",2021,TV-PG,1 Season,Reality TV
s282,Movie,Brother Jekwu,Charles Uwagbai,Nigeria,"August 11, 2019",2016,TV-14,101 min,"Comedies, International Movies"
s283,Movie,La diosa del asfalto,Julián Hernández,Mexico,"August 11, 2020",2020,TV-MA,127 min,"Dramas, Independent Movies, International Movies"
s284,Movie,Misha and the Wolves,Sam Hobkinson,Belgium,"August 11, 2021",2021,PG-13,90 min,"Documentaries, International Movies"
s285,Movie,The Kissing Booth 3,Vince Marcello,United Kingdom,"August 11, 2021",2021,TV-14,114 min,"Comedies, Romantic Movies"
s286,Movie,The Railway Man,Jonathan Teplitzky,Switzerland,"August 11, 2019",2013,R,108 min,"Dramas, International Movies"
s287,TV Show,Gabby's Dollhouse,,United States,"August 10, 2021",2021,TV-Y,2 Seasons,Kids' TV
s288,TV Show,I Need Romance,Sakon Tiacharoen,,"August 10, 2021",2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s289,TV Show,Las muñecas de la mafia,,Colombia,"August 10, 2019",2018,TV-MA,1 Season,"Crime TV Shows,  Spanish-Language TV Shows"
s290,TV Show,The Crowned Clown,,South Korea,"August 10, 2019",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s291,Movie,Untold: Malice at the Palace,Floyd Russ,United States,"August 10, 2021",2021,TV-MA,70 min,"Documentaries, Sports Movies"
s292,TV Show,SHAMAN KING,,Japan,"August 9, 2021",2021,TV-14,1 Season,"Anime Series, International TV Shows"
s293,Movie,Quartet,Dustin Hoffman,United Kingdom,"August 8, 2019",2012,PG-13,98 min,"Comedies, Dramas, Independent Movies"
s294,Movie,Slay,Adze Ugah,South Africa,"August 8, 2021",2021,TV-MA,86 min,"Comedies, International Movies, Romantic Movies"
s295,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,,"August 7, 2020",2020,TV-PG,139 min,"International Movies, Music & Musicals"
s296,Movie,The Paper Tigers,Quoc Bao Tran,United States,"August 7, 2021",2021,PG-13,111 min,"Action & Adventure, Comedies"
s297,TV Show,Hit & Run,,"Israel, United States","August 6, 2021",2021,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries"
s298,TV Show,Navarasa,Bejoy Nambiar,India,"August 6, 2021",2021,TV-MA,1 Season,TV Shows
s299,Movie,Quam's Money,Kayode Kasum,Nigeria,"August 6, 2020",2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
